HST_reff,JWST_reff_size
0.949,0.402109523
0.188,0.23231851971754044
0.165,0.1297570519662691
0.415,0.4218831417207294
0.692,0.34232210263834034
0.098,0.10684742965475222
0.122,0.12408697748621328
0.067,0.068314238
0.262,0.29729698311228725
0.392,0.4002216931355289
0.242,0.22710134800057272
0.364,0.37979448396501414
0.812,0.69826833
0.456,0.3680354888693581
0.17,0.1008898788446281
0.088,0.045647326595808294
0.096,0.060024988
0.219,0.3481982283759263
0.405,0.23987166270757243
0.433,0.3740889634226302
0.239,0.2891248534034487
0.55,0.5176719884665256
0.828,0.817003044
0.278,0.24817563555198605
0.141,0.13178454400914744
0.537,0.5869989626759173
0.377,0.42655498670172387
0.161,0.13068949647292802
0.505,0.5368224428249236
0.289,0.22896946001535598
0.087,0.073483652
0.099,0.040949736
0.17,0.18210908174408513
0.093,0.10686220184215924
0.209,0.240684444
0.122,0.18880573388129238
0.069,0.061769604810888085
0.085,0.05165074
0.123,0.13076287285102814
0.225,0.3340652283783482
0.272,0.32257388807563625
0.131,0.1532586303499962
0.176,0.15696185400470145
0.04,0.042738692
0.148,0.1632045716129727
0.828,0.6871416411077131
0.111,0.18406592287458937
0.384,0.41412460895609443
0.394,0.4268785420836672
0.2,0.1960353814196663
0.062,0.042100014
0.113,0.11223828168025611
0.157,0.14819185951058186
0.331,0.25379978305073764
0.159,0.1751956103136337
0.125,0.1408475304485977
0.568,0.5534535066377345
0.202,0.16483170236147573
0.078,0.035358509
0.225,0.27994595674211625
0.315,0.2540671422286761
0.183,0.20743398887693298
0.33,0.2541787789216221
0.113,0.12141212897788918
0.046,0.038178274
0.237,0.24708584491937036
0.094,0.1036027211120042
1.041,1.1884293868547247
0.49,0.6140060766482998
0.783,0.7187517712262859
0.254,0.11171264062671525
